매물번호,상태,매물_URL,전체주소,지번주소,보증금,월세,관리비,건물유형,방타입,전용면적_m2,층,총층,위도,경도,대표이미지,수집일시
48431350,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207782
48038140,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207792
48398593,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207802
48234754,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207811
48300295,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207821
48201992,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207831
48300297,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207841
48202001,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207851
48464150,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207860
48365851,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207873
48202014,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207882
48169248,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207891
48202019,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207901
48398628,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207912
48169252,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207922
48365864,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207931
48202025,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207941
48431405,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207950
48169266,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207960
48496948,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207969
48496950,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207979
48398646,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207988
48169274,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207999
48202043,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208008
48496960,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208018
48333129,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208027
48464207,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208037
48234838,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208046
48496989,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208055
48169309,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208064
48464222,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208074
48496994,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208085
48365922,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208094
48169320,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208104
48267629,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208113
48234862,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208123
48497011,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208132
48398707,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208141
48398712,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208151
48169336,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208160
48202107,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208169
48300412,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208179
48103805,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208188
48497028,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208198
48497030,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208207
48398734,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208217
48398738,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208226
48169362,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208236
48497045,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208245
48398750,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208257
48398757,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208267
48202149,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208277
48431528,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208287
48202152,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208297
48169386,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208307
48398764,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208317
48398765,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208327
48202158,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208337
48497071,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208348
48398770,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208415
48398774,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208437
48497083,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208449
48169403,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208471
48398782,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208490
48169411,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208503
48169415,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208515
48431561,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208526
48234956,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208536
48497103,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208547
48398799,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208557
48398804,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208567
48202200,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208578
48497113,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208587
48497115,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208598
48497128,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208609
48497129,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208619
48464362,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208629
48333290,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208639
48202220,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208649
48169453,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208659
48169454,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208669
48267759,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208680
48169456,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208691
48333294,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208701
48333295,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208711
48497139,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208720
48169466,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208731
48398845,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208742
48497156,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208751
48398855,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208761
48497168,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208770
48431635,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208780
48497172,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208790
48169493,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208800
48464403,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208810
48267801,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208821
48071197,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208831
48464417,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208841
48202277,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208851
48202281,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208861
48366126,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208873
48169522,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208883
48497205,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208893
48398901,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208902
48497208,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208912
48497211,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208921
48497212,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208931
48103997,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208940
48300603,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208949
48497215,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208958
48497216,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208967
48366148,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208977
48398916,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208986
48431686,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.208996
48464454,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209005
48366154,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209015
48431690,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209024
48169550,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209034
48366159,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209043
48235090,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209053
48169556,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209063
48169562,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209073
48104030,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209082
48398943,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209092
48431717,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209101
48333417,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209110
48333418,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209120
48333424,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209132
48398965,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209142
48366198,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209151
48169590,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209160
48169592,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209169
48464502,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209179
47809151,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209188
48366211,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209198
48333444,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209208
48398991,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209217
48333457,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209227
48333459,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209236
48464542,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209246
48366239,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209255
48399009,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209265
48399012,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209275
48366245,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209285
48399017,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209295
48300720,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209304
48497334,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209313
48333495,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209323
48202424,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209332
48366265,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209342
48497338,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209352
48497340,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209362
48431805,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209371
48399045,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209381
48431816,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209390
48497355,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209399
48169675,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209408
48497363,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209417
48399066,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209426
48267997,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209436
48169693,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209445
48300765,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209454
48038629,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209464
48366315,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209473
48169708,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209483
48169710,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209492
48366319,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209503
48169711,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209513
48202481,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209522
48464626,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209531
48464628,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209541
48431861,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209550
48464629,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209560
48497401,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209570
48497410,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209579
48399108,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209588
48431877,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209598
48497417,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209608
48464650,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209617
48399118,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209626
48169745,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209636
48464661,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209645
48497435,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209655
48497443,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209665
48464675,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209676
48169767,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209685
48431917,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209695
48300849,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209704
48169781,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209714
48169793,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209723
48431948,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209733
48399182,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209742
48202583,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209751
48366424,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209762
48464729,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209772
48169822,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209781
48268133,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209792
48169829,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209802
48497512,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209811
48366440,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209820
48464746,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209829
48431979,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209839
48497519,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209848
48366451,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209857
48431988,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209866
48497526,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209897
48038792,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209909
48464783,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209920
48432016,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209929
47940496,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209939
48300950,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209948
48464798,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209957
48399264,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209967
48169890,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209977
48432036,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209986
48464806,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.209996
48169899,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210006
48169901,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210015
48366510,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210024
48464818,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210034
48497596,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210043
48497597,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210053
48464834,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210062
48399305,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210071
48432076,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210081
48169933,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210091
48464849,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210100
48301010,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210110
48399316,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210120
48497621,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210129
48268246,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210140
48464856,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210149
48497628,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210159
48432094,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210168
48497637,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210178
48464869,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210187
48333798,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210196
48464871,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210206
48202731,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210215
48497646,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210224
47776750,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210234
48432112,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210243
48202737,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210253
48497659,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210262
48235518,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210272
48497665,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210281
48497668,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210291
48169988,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210300
48333832,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210309
48432140,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210318
48333838,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210328
48497680,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210339
48170002,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210348
48464917,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210357
48366614,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210367
48235543,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210379
48301078,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210388
48497691,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210399
48497705,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210408
48202797,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210419
48497710,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210429
48432180,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.210440
