매물번호,상태,매물_URL,전체주소,지번주소,보증금,월세,관리비,건물유형,방타입,전용면적_m2,층,총층,위도,경도,대표이미지,수집일시
48496640,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.201511
48496645,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206830
48398341,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206930
48300045,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206947
48496655,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206960
48496657,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206971
48463891,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206988
48234516,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.206999
48496662,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207010
48234519,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207021
48398359,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207032
48431128,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207042
48463898,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207054
48496667,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207065
48496668,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207075
48168987,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207086
48496672,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207109
48496679,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207120
48169000,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207131
48267306,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207142
48496683,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207153
48496693,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207164
48496698,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207179
48463932,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207190
48463941,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207209
48496710,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207220
48103498,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207230
48496714,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207255
48234574,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207275
48496721,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207290
48169041,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207303
48496723,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207315
48463953,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207326
48496725,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207337
48496726,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207348
48103515,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207358
48496736,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207371
48398433,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207381
48398436,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207392
48496741,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207401
48463975,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207412
48496745,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207423
48496746,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207433
48365674,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207443
48496748,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207453
48496759,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207464
48496763,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207474
48496768,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207484
48267396,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207494
48169094,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207504
48169096,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207514
48267416,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207524
48365723,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207534
48496795,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207544
48496801,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207554
48496804,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207564
48038052,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207574
48365734,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207584
48431274,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207595
48169132,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207605
48496816,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207615
48496817,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207625
48464061,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207635
48234688,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207646
48496833,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207660
48201920,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207670
48038090,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207691
48038091,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207702
48496844,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207711
48496846,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207721
48169175,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207731
48431319,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207742
48431341,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207752
48365808,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207762
48464112,INACTIVE,,,,,,,,,,,,,,,2026-04-02T10:26:45.207772
